column,type,count,percent_null,min,quantile_10,mean,median,quantile_90,max,std,nunique,distribution
CURRENT_FIX_DURATION,numeric,490760,0.0,3.0,116.0,213.62856997310294,196.0,326.0,2660.0,99.31364266097394,1184,
CURRENT_FIX_INDEX,numeric,490760,0.0,1.0,24.0,139.24940500448284,125.0,272.0,665.0,95.51774175761521,665,
CURRENT_FIX_PUPIL,numeric,490760,0.0,216.0,842.0,1321.7104124215502,1232.0,1916.0,5841.0,445.74259632524814,3601,
CURRENT_FIX_X,numeric,490760,0.0,-429.3,370.7,901.5276238894778,884.6500000000001,1468.8,2017.6,400.63677664931504,15072,
CURRENT_FIX_Y,numeric,490760,0.0,-522.8,71.3,459.03417332300927,426.3,902.1,1749.6,304.8078619391319,12557,
NEXT_SAC_AMPLITUDE,numeric,488748,0.4,0.0,1.0,4.2070617168765905,2.7,6.7,35.2,5.407102537077828,333,
NEXT_SAC_AVG_VELOCITY,numeric,488748,0.4,0.0,95.0,244.1412547979736,204.0,410.0,3270.0,196.05349764690976,2113,
NEXT_SAC_DURATION,numeric,488748,0.4,5.0,19.0,43.08832158903975,30.0,72.0,46689.0,159.44299784692853,1083,
fix_eye,categorical,490760,0.0,,,,,,,,2,"{'R': 57.5, 'L': 42.5}"
fix_fixed_word,categorical,490760,0.0,,,,,,,,3628,
fix_fixed_word_key,categorical,490760,0.0,,,,,,,,10838,
fix_tEnd,numeric,490760,0.0,1.1498906249998981,63.68900375000011,328.05481753453813,314.71918906250016,607.0561225000002,1035.9477781250002,205.081778017957,456347,
fix_tStart,numeric,490760,0.0,1.050890624999738,63.453834687499715,327.84218896456525,314.521809375,606.8661109374999,1035.6057781249997,205.08133468054243,490726,
is_mw,categorical,36181,92.6,,,,,,,,1,{True: 100.0}
page_dur,numeric,490760,0.0,1.9360000000001492,32.12800000000061,56.974689797457,56.77300000000014,80.23800000000028,146.7829999999999,19.23067084277879,2138,
page_num,numeric,490760,0.0,0.0,0.0,4.341301247045399,4.0,8.0,9.0,2.8710929070306044,10,"{0.0: 11.4, 1.0: 10.7, 4.0: 10.6, 8.0: 10.3, 5.0: 10.1, 6.0: 9.9, 3.0: 9.9, 2.0: 9.6, 7.0: 9.1, 9.0: 8.5}"
participant_id,categorical,490760,0.0,,,,,,,,43,
run_num,numeric,490760,0.0,1.0,1.0,2.997159507702339,3.0,5.0,5.0,1.4192547618579965,5,"{1: 20.3, 4: 20.2, 5: 20.0, 2: 20.0, 3: 19.5}"
sacc_tEnd,numeric,488748,0.4,1.1958906250001746,63.80498750000015,328.0410229620952,314.68655937499983,607.0709062500001,1036.0187781250002,204.9998506722381,373969,
sacc_tStart,numeric,488748,0.4,1.1508906250001019,63.761007812500196,327.99893464050615,314.6361000000001,607.0268906250001,1035.9487781249995,204.99840053270214,374881,
story_name,categorical,490760,0.0,,,,,,,,5,"{'pluto': 20.8, 'serena_williams': 20.2, 'prisoners_dilemma': 20.1, 'the_voynich_manuscript': 19.5, 'history_of_film': 19.4}"
word_index_in_text,numeric,490760,0.0,0.0,16.0,96.12732089004808,90.0,187.0,238.0,62.202619827254786,239,
